,Nro Comprobante,Fecha,Total,ID_cliente
178,FAC B0001-00000179,2016-04-08,998.98,465
179,FAC B0001-00000180,2016-04-08,128.99,465
180,FAC B0001-00000181,2016-04-08,998.98,669
181,FAC B0001-00000182,2016-04-08,129.33,669
182,FAC B0001-00000183,2016-04-09,998.98,866
183,FAC B0001-00000184,2016-04-09,599.93,866
184,FAC B0001-00000185,2016-04-09,998.98,20
185,FAC B0001-00000186,2016-04-09,35.06,20
186,FAC B0001-00000187,2016-04-09,939.71,204
187,FAC B0001-00000188,2016-04-09,939.71,373
188,FAC B0001-00000189,2016-04-11,565.38,410
189,FAC B0001-00000190,2016-04-11,500.45,879
190,FAC B0001-00000191,2016-04-11,405.99,625
191,FAC B0001-00000192,2016-04-11,600.88,465
192,FAC B0001-00000193,2016-04-11,469.87,643
193,FAC B0001-00000194,2016-04-12,998.98,302
194,FAC B0001-00000195,2016-04-12,881.31,302
195,FAC B0001-00000196,2016-04-12,940.55,215
196,FAC B0001-00000197,2016-04-13,998.98,846
197,FAC B0001-00000198,2016-04-13,317.58,846
198,FAC B0001-00000199,2016-04-14,939.71,527
199,FAC B0001-00000200,2016-04-14,650.58,161
200,FAC B0001-00000201,2016-04-16,998.98,801
201,FAC B0001-00000202,2016-04-16,128.9,801
202,FAC B0001-00000203,2016-04-18,568.44,279
203,FAC B0001-00000204,2016-04-18,939.71,623
204,FAC B0001-00000205,2016-04-18,998.98,676
205,FAC B0001-00000206,2016-04-18,0.99,676
206,FAC B0001-00000207,2016-04-18,499.99,787
207,FAC B0001-00000208,2016-04-18,500.45,502
208,FAC B0001-00000209,2016-04-20,500.45,912
209,FAC B0001-00000210,2016-04-21,525.55,838
210,FAC B0001-00000211,2016-04-23,500.45,386
211,FAC B0001-00000212,2016-04-23,940.55,676
212,FAC B0001-00000213,2016-04-27,469.87,643
213,FAC B0001-00000214,2016-05-02,998.98,907
214,FAC B0001-00000215,2016-05-02,880.43,907
215,FAC B0001-00000216,2016-05-02,699.99,730
216,FAC B0001-00000217,2016-05-02,998.98,573
217,FAC B0001-00000218,2016-05-02,882.11,573
218,FAC B0001-00000219,2016-05-02,939.71,419
219,FAC B0001-00000220,2016-05-02,998.98,115
220,FAC B0001-00000221,2016-05-02,129.13,115
221,FAC B0001-00000222,2016-05-04,568.44,475
222,FAC B0001-00000223,2016-05-04,801.41,166
223,FAC B0001-00000224,2016-05-04,998.98,146
224,FAC B0001-00000225,2016-05-04,998.98,146
225,FAC B0001-00000226,2016-05-04,998.98,146
226,FAC B0001-00000227,2016-05-04,388.01,146
227,FAC B0001-00000228,2016-05-04,795.27,377
228,FAC B0001-00000229,2016-05-05,500.45,275
229,FAC B0001-00000230,2016-05-05,939.71,663
230,FAC B0001-00000231,2016-05-05,565.38,410
231,FAC B0001-00000232,2016-05-05,939.71,623
232,FAC B0001-00000233,2016-05-05,500.45,502
233,FAC B0001-00000234,2016-05-05,939.71,64
234,FAC B0001-00000235,2016-05-05,500.45,350
235,FAC B0001-00000236,2016-05-05,998.98,846
236,FAC B0001-00000237,2016-05-05,317.58,846
237,FAC B0001-00000238,2016-05-06,998.98,459
238,FAC B0001-00000239,2016-05-06,413.59,459
239,FAC B0001-00000240,2016-05-06,998.98,123
240,FAC B0001-00000241,2016-05-06,35.64,123
241,FAC B0001-00000242,2016-05-06,600.58,806
242,FAC B0001-00000243,2016-05-06,939.71,353
243,FAC B0001-00000244,2016-05-06,913.88,273
244,FAC B0001-00000245,2016-05-06,939.71,42
245,FAC B0001-00000246,2016-05-07,998.98,20
246,FAC B0001-00000247,2016-05-07,35.13,20
247,FAC B0001-00000248,2016-05-07,500.45,824
248,FAC B0001-00000249,2016-05-07,998.98,787
249,FAC B0001-00000250,2016-05-07,411.2,787
250,FAC B0001-00000251,2016-05-09,940.44,436
251,FAC B0001-00000252,2016-05-09,658.11,268
252,FAC B0001-00000253,2016-05-09,500.44,178
253,FAC B0001-00000254,2016-05-09,998.98,223
254,FAC B0001-00000255,2016-05-09,411.65,223
255,FAC B0001-00000256,2016-05-09,998.98,312
256,FAC B0001-00000257,2016-05-09,128.99,312
257,FAC B0001-00000258,2016-05-09,940.44,209
258,FAC B0001-00000259,2016-05-09,940.44,728
259,FAC B0001-00000260,2016-05-09,998.98,957
260,FAC B0001-00000261,2016-05-09,129.33,957
261,FAC B0001-00000262,2016-05-09,998.98,866
262,FAC B0001-00000263,2016-05-09,599.93,866
263,FAC B0001-00000264,2016-05-09,939.71,454
264,FAC B0001-00000265,2016-05-09,998.98,573
265,FAC B0001-00000266,2016-05-09,998.98,573
266,FAC B0001-00000267,2016-05-09,998.98,573
267,FAC B0001-00000268,2016-05-09,998.98,573
268,FAC B0001-00000269,2016-05-09,998.98,573
269,FAC B0001-00000270,2016-05-09,998.98,573
270,FAC B0001-00000271,2016-05-09,606.98,573
271,FAC B0001-00000272,2016-05-09,998.98,302
272,FAC B0001-00000273,2016-05-09,881.31,302
273,FAC B0001-00000274,2016-05-09,939.71,588
274,FAC B0001-00000275,2016-05-10,998.98,762
275,FAC B0001-00000276,2016-05-10,880.88,762
276,FAC B0001-00000277,2016-05-10,998.98,296
277,FAC B0001-00000278,2016-05-10,129.13,296
278,FAC B0001-00000279,2016-05-10,940.17,711
279,FAC B0001-00000280,2016-05-10,940.44,397
280,FAC B0001-00000281,2016-05-10,939.71,294
281,FAC B0001-00000282,2016-05-10,998.98,669
282,FAC B0001-00000283,2016-05-10,129.33,669
283,FAC B0001-00000284,2016-05-10,939.71,702
284,FAC B0001-00000285,2016-05-10,500.45,603
285,FAC B0001-00000286,2016-05-10,998.98,783
286,FAC B0001-00000287,2016-05-10,599.93,783
287,FAC B0001-00000288,2016-05-10,940.44,935
288,FAC B0001-00000289,2016-05-10,658.11,428
289,FAC B0001-00000290,2016-05-10,940.44,677
290,FAC B0001-00000291,2016-05-10,998.98,465
291,FAC B0001-00000292,2016-05-10,128.99,465
292,FAC B0001-00000293,2016-05-10,600.75,465
293,FAC B0001-00000294,2016-05-10,868.12,373
294,FAC B0001-00000295,2016-05-11,800.71,545
295,FAC B0001-00000296,2016-05-11,500.45,386
296,FAC B0001-00000297,2016-05-11,568.44,8
297,FAC B0001-00000298,2016-05-11,939.71,574
298,FAC B0001-00000299,2016-05-12,392.28,536
299,FAC B0001-00000300,2016-05-12,227.14,750
300,FAC B0001-00000301,2016-05-13,940.55,215
301,FAC B0001-00000302,2016-05-16,568.44,279
302,FAC B0001-00000303,2016-05-16,500.45,879
303,FAC B0001-00000304,2016-05-16,998.98,801
304,FAC B0001-00000305,2016-05-16,128.9,801
305,FAC B0001-00000306,2016-05-16,525.55,838
306,FAC B0001-00000307,2016-05-18,998.98,454
307,FAC B0001-00000308,2016-05-18,0.99,454
308,FAC B0001-00000309,2016-05-19,998.98,944
309,FAC B0001-00000310,2016-05-19,411.82,944
310,FAC B0001-00000311,2016-05-23,998.98,767
311,FAC B0001-00000312,2016-05-23,410.85,767
312,FAC B0001-00000313,2016-05-27,998.98,351
313,FAC B0001-00000314,2016-05-27,599.55,351
314,FAC B0001-00000315,2016-05-27,500.45,824
315,FAC B0001-00000316,2016-05-31,939.71,898
316,FAC B0001-00000317,2016-05-31,998.98,459
317,FAC B0001-00000318,2016-05-31,413.59,459
318,FAC B0001-00000319,2016-05-31,998.98,774
319,FAC B0001-00000320,2016-05-31,600.12,774
320,FAC B0001-00000321,2016-06-01,998.98,159
321,FAC B0001-00000322,2016-06-01,880.43,159
322,FAC B0001-00000323,2016-06-01,998.98,146
323,FAC B0001-00000324,2016-06-01,998.98,146
324,FAC B0001-00000325,2016-06-01,998.98,146
325,FAC B0001-00000326,2016-06-01,388.01,146
326,FAC B0001-00000327,2016-06-03,801.41,166
327,FAC B0001-00000328,2016-06-03,939.71,623
328,FAC B0001-00000329,2016-06-03,939.71,960
329,FAC B0001-00000330,2016-06-03,520.9,273
330,FAC B0001-00000331,2016-06-06,998.98,766
331,FAC B0001-00000332,2016-06-06,170.33,766
332,FAC B0001-00000333,2016-06-06,565.38,410
333,FAC B0001-00000334,2016-06-06,998.98,123
334,FAC B0001-00000335,2016-06-06,35.64,123
335,FAC B0001-00000336,2016-06-06,940.44,728
336,FAC B0001-00000337,2016-06-06,795.27,377
337,FAC B0001-00000338,2016-06-06,500.45,350
338,FAC B0001-00000339,2016-06-06,939.71,204
339,FAC B0001-00000340,2016-06-07,500.45,202
340,FAC B0001-00000341,2016-06-07,998.98,716
341,FAC B0001-00000342,2016-06-07,880.43,716
342,FAC B0001-00000343,2016-06-07,500.45,178
343,FAC B0001-00000344,2016-06-07,998.98,312
344,FAC B0001-00000345,2016-06-07,128.99,312
345,FAC B0001-00000346,2016-06-07,658.11,268
346,FAC B0001-00000347,2016-06-07,939.71,663
347,FAC B0001-00000348,2016-06-07,500.45,502
348,FAC B0001-00000349,2016-06-07,939.71,294
349,FAC B0001-00000350,2016-06-07,998.98,303
350,FAC B0001-00000351,2016-06-07,504.99,303
351,FAC B0001-00000352,2016-06-07,939.71,353
352,FAC B0001-00000353,2016-06-07,939.71,548
353,FAC B0001-00000354,2016-06-07,998.98,115
354,FAC B0001-00000355,2016-06-07,129.13,115
355,FAC B0001-00000356,2016-06-07,939.71,64
356,FAC B0001-00000357,2016-06-07,998.98,846
357,FAC B0001-00000358,2016-06-07,317.58,846
358,FAC B0001-00000359,2016-06-08,998.98,186
359,FAC B0001-00000360,2016-06-08,692.99,186
360,FAC B0001-00000361,2016-06-08,998.98,866
361,FAC B0001-00000362,2016-06-08,599.93,866
362,FAC B0001-00000363,2016-06-08,940.44,209
363,FAC B0001-00000364,2016-06-08,751.67,815
364,FAC B0001-00000365,2016-06-08,939.71,419
365,FAC B0001-00000366,2016-06-08,227.14,750
366,FAC B0001-00000367,2016-06-08,392.28,536
367,FAC B0001-00000368,2016-06-09,998.98,296
368,FAC B0001-00000369,2016-06-09,129.13,296
369,FAC B0001-00000370,2016-06-09,998.98,944
370,FAC B0001-00000371,2016-06-09,411.82,944
371,FAC B0001-00000372,2016-06-09,564.42,757
372,FAC B0001-00000373,2016-06-09,998.98,20
373,FAC B0001-00000374,2016-06-09,35.13,20
374,FAC B0001-00000375,2016-06-09,998.98,787
375,FAC B0001-00000376,2016-06-09,411.2,787
376,FAC B0001-00000377,2016-06-09,500.45,51
377,FAC B0001-00000378,2016-06-09,940.44,677
378,FAC B0001-00000379,2016-06-09,405.99,625
379,FAC B0001-00000380,2016-06-09,699.99,730
380,FAC B0001-00000381,2016-06-10,998.98,762
381,FAC B0001-00000382,2016-06-10,880.88,762
382,FAC B0001-00000383,2016-06-10,940.17,711
383,FAC B0001-00000384,2016-06-10,975.16,780
384,FAC B0001-00000385,2016-06-10,939.71,454
385,FAC B0001-00000386,2016-06-10,998.98,849
386,FAC B0001-00000387,2016-06-10,411.65,849
387,FAC B0001-00000388,2016-06-10,568.44,475
388,FAC B0001-00000389,2016-06-10,998.98,783
389,FAC B0001-00000390,2016-06-10,599.93,783
390,FAC B0001-00000391,2016-06-10,600.75,465
391,FAC B0001-00000392,2016-06-10,998.98,465
392,FAC B0001-00000393,2016-06-10,128.99,465
393,FAC B0001-00000394,2016-06-10,940.44,935
394,FAC B0001-00000395,2016-06-10,568.44,665
395,FAC B0001-00000396,2016-06-10,323.11,273
396,FAC B0001-00000397,2016-06-10,939.71,574
397,FAC B0001-00000398,2016-06-10,939.71,588
398,FAC B0001-00000399,2016-06-10,469.87,643
399,FAC B0001-00000400,2016-06-10,682.1,643
400,FAC B0001-00000401,2016-06-10,940.44,397
401,FAC B0001-00000402,2016-06-10,939.71,42
402,FAC B0001-00000403,2016-06-10,998.98,669
403,FAC B0001-00000404,2016-06-10,129.33,669
404,FAC B0001-00000405,2016-06-10,848.79,373
405,FAC B0001-00000406,2016-06-10,600.58,806
406,FAC B0001-00000407,2016-06-11,600.58,713
407,FAC B0001-00000408,2016-06-13,500.45,275
408,FAC B0001-00000409,2016-06-13,998.98,676
409,FAC B0001-00000410,2016-06-13,16.91,676
410,FAC B0001-00000411,2016-06-13,500.45,603
411,FAC B0001-00000412,2016-06-13,500.45,386
412,FAC B0001-00000413,2016-06-13,658.11,428
413,FAC B0001-00000414,2016-06-13,940.44,436
414,FAC B0001-00000415,2016-06-13,752.55,570
415,FAC B0001-00000416,2016-06-14,998.98,801
416,FAC B0001-00000417,2016-06-14,128.9,801
417,FAC B0001-00000418,2016-06-15,568.44,279
418,FAC B0001-00000419,2016-06-15,998.98,909
419,FAC B0001-00000420,2016-06-15,129.13,909
420,FAC B0001-00000421,2016-06-16,699.99,730
421,FAC B0001-00000422,2016-06-16,998.98,889
422,FAC B0001-00000423,2016-06-16,998.98,889
423,FAC B0001-00000424,2016-06-16,998.98,889
424,FAC B0001-00000425,2016-06-16,106.16,889
425,FAC B0001-00000426,2016-06-18,525.55,838
426,FAC B0001-00000427,2016-06-22,940.55,215
427,FAC B0001-00000428,2016-06-23,913.57,814
428,FAC B0001-00000429,2016-06-27,998.98,907
429,FAC B0001-00000430,2016-06-27,880.43,907
430,FAC B0001-00000431,2016-06-28,527.43,273
431,FAC B0001-00000432,2016-07-01,998.98,351
432,FAC B0001-00000433,2016-07-01,599.55,351
433,FAC B0001-00000434,2016-07-01,998.98,338
434,FAC B0001-00000435,2016-07-01,459.43,338
435,FAC B0001-00000436,2016-07-01,998.98,302
436,FAC B0001-00000437,2016-07-01,881.31,302
437,FAC B0001-00000438,2016-07-01,998.98,774
438,FAC B0001-00000439,2016-07-01,600.12,774
439,FAC B0001-00000440,2016-07-04,998.98,123
440,FAC B0001-00000441,2016-07-04,35.64,123
441,FAC B0001-00000442,2016-07-04,998.98,186
442,FAC B0001-00000443,2016-07-04,692.99,186
443,FAC B0001-00000444,2016-07-05,998.98,944
444,FAC B0001-00000445,2016-07-05,411.82,944
445,FAC B0001-00000446,2016-07-05,998.98,787
446,FAC B0001-00000447,2016-07-05,411.2,787
447,FAC B0001-00000448,2016-07-05,939.71,454
448,FAC B0001-00000449,2016-07-05,939.71,663
449,FAC B0001-00000450,2016-07-05,500.45,350
450,FAC B0001-00000451,2016-07-06,500.45,178
451,FAC B0001-00000452,2016-07-06,939.71,353
452,FAC B0001-00000453,2016-07-06,998.98,762
453,FAC B0001-00000454,2016-07-06,880.88,762
454,FAC B0001-00000455,2016-07-06,998.98,767
455,FAC B0001-00000456,2016-07-06,410.85,767
456,FAC B0001-00000457,2016-07-06,205.13,767
457,FAC B0001-00000458,2016-07-06,998.98,223
458,FAC B0001-00000459,2016-07-06,998.98,223
459,FAC B0001-00000460,2016-07-06,419.73,223
460,FAC B0001-00000461,2016-07-06,801.41,166
461,FAC B0001-00000462,2016-07-06,568.44,475
462,FAC B0001-00000463,2016-07-06,565.38,410
463,FAC B0001-00000464,2016-07-06,939.71,960
464,FAC B0001-00000465,2016-07-06,998.98,766
465,FAC B0001-00000466,2016-07-06,170.33,766
466,FAC B0001-00000467,2016-07-07,940.17,711
467,FAC B0001-00000468,2016-07-07,500.45,202
468,FAC B0001-00000469,2016-07-07,500.45,275
469,FAC B0001-00000470,2016-07-07,564.42,757
470,FAC B0001-00000471,2016-07-07,998.98,849
471,FAC B0001-00000472,2016-07-07,411.65,849
472,FAC B0001-00000473,2016-07-07,998.98,459
473,FAC B0001-00000474,2016-07-07,413.59,459
474,FAC B0001-00000475,2016-07-07,939.71,419
475,FAC B0001-00000476,2016-07-07,998.98,866
476,FAC B0001-00000477,2016-07-07,599.93,866
477,FAC B0001-00000478,2016-07-07,939.71,623
478,FAC B0001-00000479,2016-07-07,500.45,502
479,FAC B0001-00000480,2016-07-07,939.71,294
480,FAC B0001-00000481,2016-07-07,658.11,268
481,FAC B0001-00000482,2016-07-07,939.71,702
482,FAC B0001-00000483,2016-07-07,795.27,377
483,FAC B0001-00000484,2016-07-07,998.98,783
484,FAC B0001-00000485,2016-07-07,599.93,783
485,FAC B0001-00000486,2016-07-07,752.55,570
486,FAC B0001-00000487,2016-07-07,939.71,42
487,FAC B0001-00000488,2016-07-07,500.45,824
488,FAC B0001-00000489,2016-07-07,939.71,588
489,FAC B0001-00000490,2016-07-07,998.98,846
490,FAC B0001-00000491,2016-07-07,317.58,846
491,FAC B0001-00000492,2016-07-07,998.98,879
492,FAC B0001-00000493,2016-07-07,1.91,879
493,FAC B0001-00000494,2016-07-08,998.98,20
494,FAC B0001-00000495,2016-07-08,35.13,20
495,FAC B0001-00000496,2016-07-08,998.98,296
496,FAC B0001-00000497,2016-07-08,129.74,296
497,FAC B0001-00000498,2016-07-08,227.14,750
498,FAC B0001-00000499,2016-07-08,392.28,536
499,FAC B0001-00000500,2016-07-08,940.44,397
500,FAC B0001-00000501,2016-07-08,564.42,757
501,FAC B0001-00000502,2016-07-08,998.98,312
502,FAC B0001-00000503,2016-07-08,128.99,312
503,FAC B0001-00000504,2016-07-08,940.44,728
504,FAC B0001-00000505,2016-07-08,500.45,51
505,FAC B0001-00000506,2016-07-08,975.16,780
506,FAC B0001-00000507,2016-07-11,939.71,204
507,FAC B0001-00000508,2016-07-11,940.44,436
508,FAC B0001-00000509,2016-07-11,568.44,665
509,FAC B0001-00000510,2016-07-11,939.71,548
510,FAC B0001-00000511,2016-07-11,500.45,386
511,FAC B0001-00000512,2016-07-11,998.98,909
512,FAC B0001-00000513,2016-07-11,129.13,909
513,FAC B0001-00000514,2016-07-11,998.98,669
514,FAC B0001-00000515,2016-07-11,129.33,669
515,FAC B0001-00000516,2016-07-12,751.67,815
516,FAC B0001-00000517,2016-07-12,940.44,209
517,FAC B0001-00000518,2016-07-12,525.55,838
518,FAC B0001-00000519,2016-07-12,998.98,373
519,FAC B0001-00000520,2016-07-12,998.98,373
520,FAC B0001-00000521,2016-07-12,950.04,373
521,FAC B0001-00000522,2016-07-12,940.44,935
522,FAC B0001-00000523,2016-07-12,405.99,625
523,FAC B0001-00000524,2016-07-12,658.11,428
524,FAC B0001-00000525,2016-07-12,939.71,574
525,FAC B0001-00000526,2016-07-13,714.78,273
526,FAC B0001-00000527,2016-07-14,939.71,716
527,FAC B0001-00000528,2016-07-14,998.98,115
528,FAC B0001-00000529,2016-07-14,129.13,115
529,FAC B0001-00000530,2016-07-18,827.22,303
530,FAC B0001-00000531,2016-07-18,181.98,303
531,FAC B0001-00000532,2016-07-18,600.58,713
532,FAC B0001-00000533,2016-07-19,940.55,215
533,FAC B0001-00000534,2016-07-20,600.75,465
534,FAC B0001-00000535,2016-07-20,998.98,465
535,FAC B0001-00000536,2016-07-20,128.99,465
